author,title,year,opening_line
Laura Hillenbrand,Seabiscuit,2001,"In 1938, near the end of a decade of monumental turmoil, the year’s number-one newsmaker was not Franklin Delano Roosevelt, Hitler, or Mussolini. It wasn’t Pope Pius XI, nor was it Lou Gehrig, Howard Hughes, or Clark Gable. The subject of the most newspaper column inches in 1938 wasn’t even a person. It was an undersized, crooked-legged racehorse named Seabiscuit."
Richard Hofstadter,The Paranoid Style in American Politics,1964,"The most difficult and delicate task that faces the author of a book of essays is that of writing an Introduction that makes his various pieces seem considerably more unified, in theme and argument, than they were in fact when they were written."
Ann Hood,An Italian Wife,2014,"In America, anything was possible. This was what Josephine’s husband told her before he left their village to catch the ship in Naples."
Khaled Hosseini,The Kite Runner,2003,"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek."
William R. Huber,Adolph Sutro,2020,I hate biographies; they always end badly.
Victor Hugo,Les Misérables,,"In the year 1815 Monseigneur Charles-François-Bienvenu Myriel was Bishop of Digne. He was then about seventy-five, having held the bishopric since 1806."
William Bradford Huie,The Revolt of Mamie Stover,1951,"A six-foot-tall, yellow-haired whore from Mississippi was the most successful revolutionary of the Second War. Her name was Mamie Stover."
David Hume,"Essays: Moral, Political, &amp; Literary",,"Political writers have established it as a maxim that, in contriving any system of government…every man ought to be supposed a knave, and to have no other end in all his actions than private interest."
David Hume,"Essays: Moral, Political, &amp; Literary",,Nothing appears more surprising to those who consider human affairs with a philosophical eye than the easiness with which the many are governed by the few; and the implicit submission with which men resign their own sentiments and passions to those of their rulers.
David Hume,An Enquiry Concerning The Principles of Morals,1751,"Disputes with men, pertinaciously obstinate in their principles, are, of all others, the most irksome; except perhaps, those with persons, entirely disingenuous, who really do not believe the opinions they defend, but engage in the controversy, from affectation, from a spirit of opposition, or from a desire of showing wit and ingenuity, superior to the rest of mankind."
Zora Neale Hurston,Their Eyes Were Watching God,1937,Ships at a distance have every man’s wish on board.
John Irving,The World According to Garp,1978,"Garp’s mother, Jenny Fields, was arrested in Boston in 1942 for wounding a man in a movie theater. This was shortly after the Japanese had bombed Pearl Harbor and people were being tolerant of soldiers, because suddenly everyone was a soldier, but Jenny Fields was quite firm in her intolerance of the behavior of men in general and soldiers in particular."
John Irving,A Prayer for Owen Meany,1989,"I am doomed to remember a boy with a wrecked voice—not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother’s death, but because he is the reason I believe in God; I am a Christian because of Owen Meany."
John Irving,Last Night in Twisted River,2009,"The young Canadian, who could not have been more than fifteen, had hesitated too long. For a frozen moment, his feet had stopped moving on the floating logs in the basin above the river bend; he’d slipped entirely underwater before anyone could grab his outstretched hand."
John Irving,In One Person,2012,"I’m going to begin by telling you about Miss Frost. While I say to everyone that I became a writer because I read a certain novel by Charles Dickens at the formative age of fifteen, the truth is I was younger than that when I first met Miss Frost and imagined having sex with her, and this moment of my sexual awakening also marked the fitful birth of my imagination."
Walter Isaacson,Kissinger,1992,"As his parents finished packing the few personal belongings that they were permitted to take out of Germany, the bespectacled fifteen-year-old boy stood in the corner of the apartment and memorized the details of the scene."
Walter Isaacson,Benjamin Franklin,2003,"His arrival in Philadelphia is one of the most famous scenes in autobiographical literature: the bedraggled 17-year-old runaway, cheeky yet with a pretense of humility, straggling off the boat and buying three puffy rolls as he wanders up Market Street. But wait a minute. There’s something more."
Walter Isaacson,American Sketches,2009,"Benjamin Franklin would, I think, have been pleased, even tickled by the election of Barack Obama as president."
Walter Isaacson,Leonardo da Vinci,2017,Leonardo da Vinci had the good luck to be born out of wedlock.
Kazuo Ishiguro,A Pale View of the Hills,1982,"Niki, the name we finally gave my younger daughter, is not an abbreviation; it was a compromise I reached with her father. For paradoxically it was he who wanted to give her a Japanese name, and I—perhaps out of some selfish desire not to be reminded of the past—insisted on an English one. He finally agreed to Niki, thinking it had some vague echo of the East about it."
Jeff Jacoby,The Boston Globe,,They were nice to my father the second time he went to Auschwitz.
Jeff Jacoby,The Boston Globe,,"It’s the deep, dark secret of the Mitt Romney campaign, the one he and his handlers are desperately hoping no one will find out. He’s a Republican."
Jeff Jacoby,The Boston Globe,,"Yasser Arafat died at the old age of 75, lying in bed and surrounded by familiar faces. He left this world peacefully, unlike the thousands of victims he sent to early graves."
Jeff Jacoby,The Boston Globe,,It’s remarkable what five centuries can do for a man’s reputation.
Storm Jameson,A Richer Dust,1931,The past is a scene from which the light is slowly fading.
Pam Jenoff,Code Name Sapphire,2023,"Micheline threw the still-smoldering Gauloises cigarette to the ground and crushed it with the high heel of her black leather boot. Then she marched across the darkened Paris street and grabbed the man she’d never seen before by the lapels, throwing him back against the stained brick wall of the station. “Kiss me!” she ordered in English, whispering tersely."
